Hotelcode,Customer Name,gender,Age,Occuption,Booking Date,Amount
IHG37,shivani,f,47,IT,12/13/2022,9886
IHG38,isha,f,42,Businessman,9/10/2022,9194
IHG12,smt shyani devi,f,40,Businessman,12/24/2022,7679
IHG23,divya,f,53,IT,10/12/2022,5750
IHG19,mansi,f,45,IT,9/2/2022,11172
IHG25,mazida,f,44,Doctor,12/27/2022,10197
IHG36,pooja,f,37,Businessman,12/5/2022,7054
IHG39,kajal,f,57,IT,12/4/2022,11528
IHG23,meena,f,59,IT,10/29/2022,14646
IHG21,sonam,f,27,Businessman,10/5/2022,6730
IHG17,buity,f,40,Doctor,10/28/2022,6389
IHG28,hina,f,44,Businessman,10/24/2022,11325
IHG28,shakshi sagar,f,57,IT,10/27/2022,14855
IHG33,pooja,f,33,Doctor,9/10/2022,12481
IHG35,anita,f,53,Doctor,12/18/2022,12609
IHG40,neetu,f,55,sales,9/28/2022,11691
IHG31,anshu d/o,f,56,sales,10/1/2022,11318
IHG4,kanika kathuria,f,52,Businessman,11/14/2022,13298
IHG28,manju,f,58,IT,10/23/2022,5457
IHG28,shakshi,f,58,Doctor,12/5/2022,14868
IHG13,anita,f,37,sales,12/30/2022,6037
IHG11,reena,f,39,IT,10/5/2022,10413
IHG11,neha,f,29,IT,12/18/2022,8757
IHG29,khushboo,f,59,sales,9/26/2022,5977
IHG22,aasmin,f,58,Doctor,9/25/2022,11219
IHG27,jyoti,f,55,Actor,9/27/2022,7772
IHG26,riya masi,f,46,Actor,10/28/2022,8747
IHG31,rekha,f,44,Actor,12/12/2022,8113
IHG27,leela with a child,f,32,sales,12/6/2022,12481
IHG26,isha,f,26,Businessman,11/21/2022,13125
IHG11,gulshan,f,37,sales,10/4/2022,14265
IHG39,priya jain,f,31,Actor,11/28/2022,11834
IHG24,pooja,f,58,IT,10/9/2022,12386
IHG26,rakhi @payal,f,49,IT,12/22/2022,6391
IHG15,versha,f,44,sales,10/20/2022,7190
IHG36,sunita,f,27,Doctor,12/3/2022,11878
IHG39,nitu kumari,f,55,Actor,9/26/2022,7123
IHG42,vandana,f,54,Businessman,11/1/2022,6581
IHG43,roshni,f,41,Actor,9/20/2022,14070
IHG12,parveen,f,54,Doctor,11/29/2022,5520
IHG7,versa,f,52,Businessman,9/23/2022,12945
IHG36,kavita,f,27,Actor,12/1/2022,6676
IHG39,pooja,f,35,Doctor,11/1/2022,8583
IHG5,sarojani,f,33,Doctor,11/18/2022,8257
IHG29,nagina,f,44,IT,11/6/2022,10533
IHG4,tapas das,f,40,Businessman,10/15/2022,13448
IHG36,priyanka,f,50,sales,12/1/2022,9059
IHG3,santna,f,47,Businessman,11/30/2022,8695
IHG26,khushbu,f,56,Doctor,12/4/2022,10472
IHG4,pooja,f,42,Actor,12/3/2022,6999
